Date,Actual value,Predicted value
3/13/2022,146868,150702.72
3/14/2022,141680,157176.48
3/15/2022,148477,153415.39
3/16/2022,161761,157557.98
3/17/2022,166950,160034.31
3/18/2022,83117,160598.06
3/19/2022,24628,138246.2
3/20/2022,15574,125007.125
3/21/2022,51615,96513.586
3/22/2022,25264,81700.02
3/23/2022,70839,65860.305
3/24/2022,178543,67839.1
3/25/2022,161743,128046.92
3/26/2022,184840,130011.63
3/27/2022,199321,163037.11
3/28/2022,198500,161534.34
3/29/2022,199170,164042.28
3/30/2022,193497,160661.19
3/31/2022,118957,165257.48
4/1/2022,168952,146361.33
4/2/2022,145013,171868.6
4/3/2022,119148,149447.44
4/4/2022,89404,154640.95
4/5/2022,173658,140907.06
4/6/2022,135103,174214.69
4/7/2022,175731,140543.4
4/8/2022,143128,172058.8
4/9/2022,151474,145575.47
4/10/2022,146946,163122.38
4/11/2022,68179,152163.28
4/12/2022,56234,137630.9
4/13/2022,87584,131444.84
4/14/2022,56301,127160.93
4/15/2022,24384,103794.484
4/16/2022,38688,70634.76
4/17/2022,75388,73427.586
4/18/2022,160273,80983.21
4/19/2022,140406,117246.24
4/20/2022,102877,124504.305
4/21/2022,148404,121486.11
4/22/2022,55558,153597.42
4/23/2022,35306,118498.45
4/24/2022,102243,94868.09
4/25/2022,110036,125171.03
4/26/2022,105590,117660.81
4/27/2022,86046,118281.93
4/28/2022,99881,120041.44
4/29/2022,176880,121503.01
4/30/2022,148438,159908.72
5/1/2022,100356,142467.8
5/2/2022,129084,136616.2
5/3/2022,113468,158263.95
5/4/2022,95504,139754.61
5/5/2022,127526,139791.62
5/6/2022,114840,149704.14
5/7/2022,157372,140092.64
5/8/2022,145870,159557.66
5/9/2022,114840,149547.69
5/10/2022,176880,144631.69
5/11/2022,150684,171247.78
5/12/2022,141865,149616.12
5/13/2022,109514,155999.92
5/14/2022,126549,146919.62
5/15/2022,98018,155757.1
5/16/2022,122019,140068.36
5/17/2022,112196,151459.61
5/18/2022,95275,139626.7
5/19/2022,137427,135599.31
5/20/2022,142349,151462.83
5/21/2022,105766,148111.42
5/22/2022,120120,138054.23
5/23/2022,111253,150900.19
5/24/2022,117707,141319.58
5/25/2022,119920,145875.25
5/26/2022,85810,144570.5
5/27/2022,87536,132881.4
5/28/2022,87917,132399.61
5/29/2022,97836,127080.46
5/30/2022,100753,124834.9
5/31/2022,108822,125745.76
6/1/2022,82514,128818.664
6/2/2022,86766,119783.25
6/3/2022,102999,118742.61
6/4/2022,120264,125922.336
6/5/2022,76115,131312.39
6/6/2022,123228,117753.78
6/7/2022,131316,138732.55
6/8/2022,46190,137814.72
6/9/2022,102550,110252.445
6/10/2022,99015,132192.62
6/11/2022,85728,123389.49
6/12/2022,88514,110274.31
6/13/2022,114383,121437.6
6/14/2022,110652,126438.48
6/15/2022,116392,127607.9
6/16/2022,110843,135236.2
6/17/2022,89811,134798.66
6/18/2022,115474,128739.72
6/19/2022,111642,140587.28
6/20/2022,168798,135571.34
6/21/2022,82777,162197.2
6/22/2022,134197,128091.39
6/23/2022,55905,157149.61
6/24/2022,153311,123659.47
6/25/2022,85566,159665.31
6/26/2022,99782,123415.37
6/27/2022,161911,124961.414
6/28/2022,191981,153009.34
6/29/2022,182598,166304.92
6/30/2022,128553,151617.44
7/1/2022,138229,150062.64
7/2/2022,221976,156978.38
7/3/2022,183209,177954.56
7/4/2022,81886,156962.56
7/5/2022,71676,139153.14
7/6/2022,169355,147598.08
7/7/2022,205122,161218.61
7/8/2022,113157,171844.73
7/9/2022,247593,136943.89
7/10/2022,214302,195931.89
7/11/2022,155563,156221.64
7/12/2022,226150,156052.23
7/13/2022,228257,174744.36
7/14/2022,184102,169414.61
7/15/2022,195559,158781.69
7/16/2022,120925,167283.38
7/17/2022,187134,148654.72
7/18/2022,193796,175784.03
7/19/2022,141629,160537.16
7/20/2022,143869,155881.58
7/21/2022,186746,156812.6
7/22/2022,190517,171276.98
7/23/2022,167972,162049.83
7/24/2022,144809,160357.45
7/25/2022,182787,154829.62
7/26/2022,185559,170251.72
